,0,1,2,3
110,612337363326074936,Trademate#2515,<@223634339106127876> has reached level **1**!,2020-11-27T17:31:01.398000+00:00
111,488359813160501251,Merente#5844,<@579205396166737921> not sure why someone bought one of my ACB contracts for 3.7 but I bought it back for $52 less a few minutes later 🤣,2020-11-27T15:27:11.732000+00:00
112,612337363326074936,Trademate#2515,<@713041265863688192> has reached level **5**!,2020-11-27T15:54:54.044000+00:00
113,223634339106127876,Lecrit#3469,<@!752335752376877132> TY,2020-11-27T15:58:55.323000+00:00
114,223634339106127876,Lecrit#3469,<@!300836254457659392>,2020-11-27T17:31:01.145000+00:00
115,488359813160501251,Merente#5844,<@579205396166737921> not sure why someone bought one of my ACB contracts for 3.7 but I bought it back for $52 less a few minutes later 🤣,2020-11-27T15:27:11.732000+00:00
116,612337363326074936,Trademate#2515,<@713041265863688192> has reached level **5**!,2020-11-27T15:54:54.044000+00:00
117,223634339106127876,Lecrit#3469,<@!752335752376877132> TY,2020-11-27T15:58:55.323000+00:00
118,488359813160501251,Merente#5844,<@579205396166737921> not sure why someone bought one of my ACB contracts for 3.7 but I bought it back for $52 less a few minutes later 🤣,2020-11-27T15:27:11.732000+00:00
119,612337363326074936,Trademate#2515,<@713041265863688192> has reached level **5**!,2020-11-27T15:54:54.044000+00:00
120,269575947823349761,wetlqd#7618,This is the new position 1 hr into trading. 👇🏼,2020-11-27T15:05:46.711000+00:00
121,488359813160501251,Merente#5844,<@579205396166737921> not sure why someone bought one of my ACB contracts for 3.7 but I bought it back for $52 less a few minutes later 🤣,2020-11-27T15:27:11.732000+00:00
122,269575947823349761,wetlqd#7618,So this was rolled on Nov 25 mid session. 👇🏼,2020-11-27T15:05:28.907000+00:00
123,269575947823349761,wetlqd#7618,This is the new position 1 hr into trading. 👇🏼,2020-11-27T15:05:46.711000+00:00
124,488359813160501251,Merente#5844,<@579205396166737921> not sure why someone bought one of my ACB contracts for 3.7 but I bought it back for $52 less a few minutes later 🤣,2020-11-27T15:27:11.732000+00:00
125,208746586233241600,Alpha190#0698,PLTR call came in clutch,2020-11-26T04:50:30.495000+00:00
126,269575947823349761,wetlqd#7618,So this was rolled on Nov 25 mid session. 👇🏼,2020-11-27T15:05:28.907000+00:00
127,269575947823349761,wetlqd#7618,This is the new position 1 hr into trading. 👇🏼,2020-11-27T15:05:46.711000+00:00
