ID,Name,Message,Time,Datetime,Date,UnixTimeStamp,EasternDT,Mentions,IsBot
233095871628050433,jibroni#0841,Good stuff in Voice chat this morning,14:49:39.143000,2020-11-25 14:49:39.143000+00:00,2020-11-25,1606315779.143,2020-11-25 09:49:39.143000-05:00,,Human
140154918349701121,celestialwombat#0532,AMD 12/4 88 overnight swing. took my money and ran! gonna eat well this thanksgiving,14:43:22.341000,2020-11-25 14:43:22.341000+00:00,2020-11-25,1606315402.341,2020-11-25 09:43:22.341000-05:00,,Human
579205396166737921,beenpippinsincebeenpippin#4039,Trim city,20:49:14.664000,2020-11-24 20:49:14.664000+00:00,2020-11-24,1606250954.664,2020-11-24 15:49:14.664000-05:00,,Human
702961272689524767,aalisub#9254,quick scalp thanks <@!536430344489009153> !!,18:48:07.034000,2020-11-24 18:48:07.034000+00:00,2020-11-24,1606243687.034,2020-11-24 13:48:07.034000-05:00,<@!536430344489009153>,Human
408258717595729921,Sal.D#0423,<@!464449226521313292>,18:44:20.405000,2020-11-24 18:44:20.405000+00:00,2020-11-24,1606243460.405,2020-11-24 13:44:20.405000-05:00,<@!464449226521313292>,Human
408258717595729921,Sal.D#0423,TSLA swing from a couple of hours ago,18:43:54.647000,2020-11-24 18:43:54.647000+00:00,2020-11-24,1606243434.647,2020-11-24 13:43:54.647000-05:00,,Human
385261276986605568,Sporadic#0001,to the moon!,18:38:08.950000,2020-11-24 18:38:08.950000+00:00,2020-11-24,1606243088.95,2020-11-24 13:38:08.950000-05:00,,Human
701683775481970709,OldKeller#4301,<@764586612134248508>  my guy,16:55:09.963000,2020-11-24 16:55:09.963000+00:00,2020-11-24,1606236909.963,2020-11-24 11:55:09.963000-05:00,<@764586612134248508>,Human
674648888279302204,GOOFYSPY#8332,SPY calls In and out 92%,16:54:58.212000,2020-11-24 16:54:58.212000+00:00,2020-11-24,1606236898.212,2020-11-24 11:54:58.212000-05:00,,Human
547640493220298752,Mike Hawk#5066,Tsla bout to pay for my rent,16:35:01.105000,2020-11-24 16:35:01.105000+00:00,2020-11-24,1606235701.105,2020-11-24 11:35:01.105000-05:00,,Human
408072494356889612,Miura27#9419,3 voice chat call outs 3 green trades,15:15:18.556000,2020-11-24 15:15:18.556000+00:00,2020-11-24,1606230918.556,2020-11-24 10:15:18.556000-05:00,,Human
250119465403023360,Sixman#0001,$$$$$$$$$$$$$$$$$,15:06:29.982000,2020-11-24 15:06:29.982000+00:00,2020-11-24,1606230389.982,2020-11-24 10:06:29.982000-05:00,,Human
726683522839871498,Don J ♠#1980,Thank you Team 🙏🏼,14:57:09.973000,2020-11-24 14:57:09.973000+00:00,2020-11-24,1606229829.973,2020-11-24 09:57:09.973000-05:00,,Human
162628032341868544,vkk_trader#0276,TSLA,14:56:05.388000,2020-11-24 14:56:05.388000+00:00,2020-11-24,1606229765.388,2020-11-24 09:56:05.388000-05:00,,Human
674648888279302204,GOOFYSPY#8332,Nio 💯,14:52:21.742000,2020-11-24 14:52:21.742000+00:00,2020-11-24,1606229541.742,2020-11-24 09:52:21.742000-05:00,,Human
674648888279302204,GOOFYSPY#8332,BA calls,14:47:09.729000,2020-11-24 14:47:09.729000+00:00,2020-11-24,1606229229.729,2020-11-24 09:47:09.729000-05:00,,Human
131952052069728258,Teecee#3022,<@!432049873563680786> thanks buddy,14:46:05.495000,2020-11-24 14:46:05.495000+00:00,2020-11-24,1606229165.495,2020-11-24 09:46:05.495000-05:00,<@!432049873563680786>,Human
579205396166737921,beenpippinsincebeenpippin#4039,Let the last one go,14:45:07.339000,2020-11-24 14:45:07.339000+00:00,2020-11-24,1606229107.339,2020-11-24 09:45:07.339000-05:00,,Human
553137075906674689,Arkius#5130,closed my runner,14:42:49.992000,2020-11-24 14:42:49.992000+00:00,2020-11-24,1606228969.992,2020-11-24 09:42:49.992000-05:00,,Human
269575947823349761,wetlqd#7618,A lot of wins 😉,22:26:05.666000,2020-11-23 22:26:05.666000+00:00,2020-11-23,1606170365.666,2020-11-23 17:26:05.666000-05:00,,Human
510983118388330497,NDfrags#2181,Tf? How is your roth IRA at 5K %???? <@!269575947823349761>,22:25:44.746000,2020-11-23 22:25:44.746000+00:00,2020-11-23,1606170344.746,2020-11-23 17:25:44.746000-05:00,<@!269575947823349761>,Human
269575947823349761,wetlqd#7618,".
Some of the TSLA options",21:31:25.366000,2020-11-23 21:31:25.366000+00:00,2020-11-23,1606167085.366,2020-11-23 16:31:25.366000-05:00,,Human
269575947823349761,wetlqd#7618,Roth is crushing it.,21:30:05.368000,2020-11-23 21:30:05.368000+00:00,2020-11-23,1606167005.368,2020-11-23 16:30:05.368000-05:00,,Human
269575947823349761,wetlqd#7618,"``` PERCENTAGE GAINS ```
Still managing to stay ahead of the S&P gains for the year. 😉",21:29:28.303000,2020-11-23 21:29:28.303000+00:00,2020-11-23,1606166968.303,2020-11-23 16:29:28.303000-05:00,,Human
162628032341868544,vkk_trader#0276,Todays TSLA profits,21:20:37.681000,2020-11-23 21:20:37.681000+00:00,2020-11-23,1606166437.681,2020-11-23 16:20:37.681000-05:00,,Human
488359813160501251,Merente#5844,<@579205396166737921> Didn't get in when you did but it looks like I caught the bottom of the day for this one for a nice 20% day trade.,21:03:44.069000,2020-11-23 21:03:44.069000+00:00,2020-11-23,1606165424.069,2020-11-23 16:03:44.069000-05:00,<@579205396166737921>,Human
488359813160501251,Merente#5844,<@579205396166737921> quick and easy,21:02:19.997000,2020-11-23 21:02:19.997000+00:00,2020-11-23,1606165339.997,2020-11-23 16:02:19.997000-05:00,<@579205396166737921>,Human
269575947823349761,wetlqd#7618,Will roll the Dec soon.,20:54:34.604000,2020-11-23 20:54:34.604000+00:00,2020-11-23,1606164874.604,2020-11-23 15:54:34.604000-05:00,,Human
612337363326074936,Trademate#2515,<@308066384443604993> has reached level **5**!,19:19:50.416000,2020-11-23 19:19:50.416000+00:00,2020-11-23,1606159190.416,2020-11-23 14:19:50.416000-05:00,<@308066384443604993>,Human
308066384443604993,jarvy232#5448,<@!536430344489009153> with the clutch CLSK call - I didn't have strong enough hands to hold it for more - but there were so many more gains on the table,19:19:50.107000,2020-11-23 19:19:50.107000+00:00,2020-11-23,1606159190.107,2020-11-23 14:19:50.107000-05:00,<@!536430344489009153>,Human
663395442645663764,stocky#9277,<@385261276986605568> lmao whipping out the RH account,18:44:19.543000,2020-11-23 18:44:19.543000+00:00,2020-11-23,1606157059.543,2020-11-23 13:44:19.543000-05:00,<@385261276986605568>,Human
579205396166737921,beenpippinsincebeenpippin#4039,Bonus bucks at the end of the day for this Atlanta dinner with my old lady,21:13:24.175000,2020-11-20 21:13:24.175000+00:00,2020-11-20,1605906804.175,2020-11-20 16:13:24.175000-05:00,,Human
516072524568723466,MiPlayer123#3308,Poggers,22:07:21.902000,2020-11-21 22:07:21.902000+00:00,2020-11-21,1605996441.902,2020-11-21 17:07:21.902000-05:00,,Human
629362548919107584,ningning#8888,https://cdn.discordapp.com/attachments/496728337985699850/780442225015652412/Screenshot_20201123-093506_Robinhood.jpg,14:39:05.217000,2020-11-23 14:39:05.217000+00:00,2020-11-23,1606142345.217,2020-11-23 09:39:05.217000-05:00,,Human
704074357135114302,MMs hate me#2020,Put that on WSB lol,14:39:24.733000,2020-11-23 14:39:24.733000+00:00,2020-11-23,1606142364.733,2020-11-23 09:39:24.733000-05:00,,Human
162628032341868544,vkk_trader#0276,"> See how after my first trim I can’t lose.  That’s called financing your trade and is very important to understand
<@!579205396166737921> thats some crazy scalps been. i was too worries to get into the trades on TSLA in the last 30 mins. too fast",20:55:57.289000,2020-11-20 20:55:57.289000+00:00,2020-11-20,1605905757.289,2020-11-20 15:55:57.289000-05:00,<@!579205396166737921>,Human
579205396166737921,beenpippinsincebeenpippin#4039,See how after my first trim I can’t lose.  That’s called financing your trade and is very important to understand,20:54:50.531000,2020-11-20 20:54:50.531000+00:00,2020-11-20,1605905690.531,2020-11-20 15:54:50.531000-05:00,,Human
702961272689524767,aalisub#9254,took the risky ride up on NFLX and barely survived,20:03:54.047000,2020-11-20 20:03:54.047000+00:00,2020-11-20,1605902634.047,2020-11-20 15:03:54.047000-05:00,,Human
408258717595729921,Sal.D#0423,Tsla scalp for a quick hundred,20:00:51.719000,2020-11-20 20:00:51.719000+00:00,2020-11-20,1605902451.719,2020-11-20 15:00:51.719000-05:00,,Human
233095871628050433,jibroni#0841,PTON gainz. Rolled them out and now may look to re enter next week,19:05:05.376000,2020-11-20 19:05:05.376000+00:00,2020-11-20,1605899105.376,2020-11-20 14:05:05.376000-05:00,,Human
612337363326074936,Trademate#2515,<@726683522839871498> has reached level **10**!,18:43:13.468000,2020-11-20 18:43:13.468000+00:00,2020-11-20,1605897793.468,2020-11-20 13:43:13.468000-05:00,<@726683522839871498>,Bot
726683522839871498,Don J ♠#1980,$150 gain ! Bless <@!464449226521313292>,18:43:13.258000,2020-11-20 18:43:13.258000+00:00,2020-11-20,1605897793.258,2020-11-20 13:43:13.258000-05:00,<@!464449226521313292>,Human
162628032341868544,vkk_trader#0276,second scalp today,18:33:52.973000,2020-11-20 18:33:52.973000+00:00,2020-11-20,1605897232.973,2020-11-20 13:33:52.973000-05:00,,Human
674648888279302204,GOOFYSPY#8332,<@!579205396166737921>,18:05:02.659000,2020-11-20 18:05:02.659000+00:00,2020-11-20,1605895502.659,2020-11-20 13:05:02.659000-05:00,<@!579205396166737921>,Human
629362548919107584,ningning#8888,i'm actually still pdt lol,18:00:37.593000,2020-11-20 18:00:37.593000+00:00,2020-11-20,1605895237.593,2020-11-20 13:00:37.593000-05:00,,Human
629362548919107584,ningning#8888,🙂,18:00:26.556000,2020-11-20 18:00:26.556000+00:00,2020-11-20,1605895226.556,2020-11-20 13:00:26.556000-05:00,,Human
726683522839871498,Don J ♠#1980,Congrats! <@629362548919107584>,18:00:22.431000,2020-11-20 18:00:22.431000+00:00,2020-11-20,1605895222.431,2020-11-20 13:00:22.431000-05:00,<@629362548919107584>,Human
612337363326074936,Trademate#2515,<@556608338377441291> has reached level **11**!,18:00:12.363000,2020-11-20 18:00:12.363000+00:00,2020-11-20,1605895212.363,2020-11-20 13:00:12.363000-05:00,<@556608338377441291>,Bot
556608338377441291,AlisTheMan#3799,Dang you unlocked the day trading power up <:sweating_mario:546615219632472064>,18:00:12.083000,2020-11-20 18:00:12.083000+00:00,2020-11-20,1605895212.083,2020-11-20 13:00:12.083000-05:00,,Human
629362548919107584,ningning#8888,I'VE FINALLY DONE ITTTTT,17:34:01.137000,2020-11-20 17:34:01.137000+00:00,2020-11-20,1605893641.137,2020-11-20 12:34:01.137000-05:00,,Human
629362548919107584,ningning#8888,I'VE DONE IT,17:33:49.965000,2020-11-20 17:33:49.965000+00:00,2020-11-20,1605893629.965,2020-11-20 12:33:49.965000-05:00,,Human
726683522839871498,Don J ♠#1980,🙏🏼🙏🏼 <@!579205396166737921>,17:23:15.029000,2020-11-20 17:23:15.029000+00:00,2020-11-20,1605892995.029,2020-11-20 12:23:15.029000-05:00,<@!579205396166737921>,Human
701683775481970709,OldKeller#4301,<@!579205396166737921> thanks G.,17:19:53.537000,2020-11-20 17:19:53.537000+00:00,2020-11-20,1605892793.537,2020-11-20 12:19:53.537000-05:00,<@!579205396166737921>,Human
689681229989150742,jackaplan#7289,Quick and easy,23:41:33.233000,2020-11-19 23:41:33.233000+00:00,2020-11-19,1605829293.233,2020-11-19 18:41:33.233000-05:00,,Human
715767534070267926,88keys#5709,"People talking about FEYE news so I grabbed some AH shares real quick.

15.65 -> 16.95
8.3%",01:55:35.193000,2020-11-20 01:55:35.193000+00:00,2020-11-20,1605837335.193,2020-11-19 20:55:35.193000-05:00,,Human
702961272689524767,aalisub#9254,bless you NIO,14:43:56.012000,2020-11-20 14:43:56.012000+00:00,2020-11-20,1605883436.012,2020-11-20 09:43:56.012000-05:00,,Human
408258717595729921,Sal.D#0423,Pins swing,21:13:53.376000,2020-11-19 21:13:53.376000+00:00,2020-11-19,1605820433.376,2020-11-19 16:13:53.376000-05:00,,Human
754861361896357958,Gbdavis#9509,Tesla was huge today for me as well,21:07:13.878000,2020-11-19 21:07:13.878000+00:00,2020-11-19,1605820033.878,2020-11-19 16:07:13.878000-05:00,,Human
674648888279302204,GOOFYSPY#8332,TSLA 💯,21:03:28.565000,2020-11-19 21:03:28.565000+00:00,2020-11-19,1605819808.565,2020-11-19 16:03:28.565000-05:00,,Human
131952052069728258,Teecee#3022,nice 20% thanks <@!579205396166737921>,20:23:47.558000,2020-11-19 20:23:47.558000+00:00,2020-11-19,1605817427.558,2020-11-19 15:23:47.558000-05:00,<@!579205396166737921>,Human
608819724477923329,NPinto99#3400,"<@764586612134248508> fire play. Looks like it's gonna go higher, but I got a small account so can't be too greedy. Thanks Harry!",19:33:36.612000,2020-11-19 19:33:36.612000+00:00,2020-11-19,1605814416.612,2020-11-19 14:33:36.612000-05:00,<@764586612134248508>,Human
702961272689524767,aalisub#9254,learning to scale out and trim. got my runner,18:58:40.099000,2020-11-19 18:58:40.099000+00:00,2020-11-19,1605812320.099,2020-11-19 13:58:40.099000-05:00,,Human
547640493220298752,Mike Hawk#5066,Tsla scalps today,18:54:26.760000,2020-11-19 18:54:26.760000+00:00,2020-11-19,1605812066.76,2020-11-19 13:54:26.760000-05:00,,Human
380529419384651787,Acela#6410,Nice 40% just sitting in my car,18:42:10.679000,2020-11-19 18:42:10.679000+00:00,2020-11-19,1605811330.679,2020-11-19 13:42:10.679000-05:00,,Human
629362548919107584,ningning#8888,"> <@!629362548919107584> damn. you're insane with that growth!
<@!680245219706667048> i had a bit of luck on my side 🙂",18:04:09.760000,2020-11-19 18:04:09.760000+00:00,2020-11-19,1605809049.76,2020-11-19 13:04:09.760000-05:00,"<@!629362548919107584>, <@!680245219706667048>,",Human
680245219706667048,labm8#8506,<@!629362548919107584> damn. you're insane with that growth!,17:59:48.625000,2020-11-19 17:59:48.625000+00:00,2020-11-19,1605808788.625,2020-11-19 12:59:48.625000-05:00,<@!629362548919107584>,Human
629362548919107584,ningning#8888,"> <@!629362548919107584> don't get too greedy, unrealized until then
<@!663395442645663764> yessir. i've been scalping more lol. I like my cold hard cash more then a contract 👀",17:40:17.390000,2020-11-19 17:40:17.390000+00:00,2020-11-19,1605807617.39,2020-11-19 12:40:17.390000-05:00,"<@!629362548919107584>, <@!663395442645663764>,",Human
663395442645663764,stocky#9277,"<@629362548919107584> don't get too greedy, unrealized until then",17:37:09.418000,2020-11-19 17:37:09.418000+00:00,2020-11-19,1605807429.418,2020-11-19 12:37:09.418000-05:00,<@629362548919107584>,Human
612337363326074936,Trademate#2515,<@488359813160501251> has reached level **16**!,17:31:17.206000,2020-11-19 17:31:17.206000+00:00,2020-11-19,1605807077.206,2020-11-19 12:31:17.206000-05:00,<@488359813160501251>,Bot
488359813160501251,Merente#5844,Quick little scalp courtesy of <@663395442645663764>,17:31:16.948000,2020-11-19 17:31:16.948000+00:00,2020-11-19,1605807076.948,2020-11-19 12:31:16.948000-05:00,<@663395442645663764>,Human
488359813160501251,Merente#5844,Very nice PTON play from <@579205396166737921> !,17:27:49.477000,2020-11-19 17:27:49.477000+00:00,2020-11-19,1605806869.477,2020-11-19 12:27:49.477000-05:00,<@579205396166737921>,Human
612337363326074936,Trademate#2515,<@510983118388330497> has reached level **14**!,16:56:03.893000,2020-11-19 16:56:03.893000+00:00,2020-11-19,1605804963.893,2020-11-19 11:56:03.893000-05:00,<@510983118388330497>,Bot
510983118388330497,NDfrags#2181,Don't look behind you there is no money back there. - Quote by <@!579205396166737921>,16:56:03.636000,2020-11-19 16:56:03.636000+00:00,2020-11-19,1605804963.636,2020-11-19 11:56:03.636000-05:00,<@!579205396166737921>,Human
629362548919107584,ningning#8888,Almost 2k% 😉😉,16:31:47.093000,2020-11-19 16:31:47.093000+00:00,2020-11-19,1605803507.093,2020-11-19 11:31:47.093000-05:00,,Human
629362548919107584,ningning#8888,Holy shit,16:26:28.296000,2020-11-19 16:26:28.296000+00:00,2020-11-19,1605803188.296,2020-11-19 11:26:28.296000-05:00,,Human
488359813160501251,Merente#5844,Quick ZM scalp,21:48:11.950000,2020-11-18 21:48:11.950000+00:00,2020-11-18,1605736091.95,2020-11-18 16:48:11.950000-05:00,,Human
